event	station	error_phi_1	phi	error_phi_2	error_dt_1	dt	error_dt_2	quality
2009.280.22.03.14	NOMA	27	34	48	0.63	1	1.47	f
2009.281.08.28.47	NOMA	25	35	52	0.42	0.8	1.47	f
2009.281.21.16.13	NOMA	29	32	37	0.84	1	1.26	g
2009.285.09.37.21	NOMA	41	58	76	1.26	1.6	2.32	f
2009.285.12.44.38	NOMA	76	81	88	1.47	1.8	2.32	f
2009.285.20.59.38	NOMA	43	67	86	0.63	0.8	1.26	f
2009.296.15.14.13	NOMA	27	38	54	0.63	1	1.47	g
2009.304.19.09.51	NOMA	25	29	33	1.05	1.2	1.47	g
2009.306.10.47.13	NOMA	35	37	39	1.26	1.2	1.26	g
2009.312.15.46.09	NOMA	37	42	60	0.63	0.8	0.84	g
2009.316.02.13.37	NOMA	46	50	56	1.26	1.2	1.47	g
2009.321.15.30.47	NOMA	60	66	76	1.05	1	1.26	g
2009.326.07.48.20	NOMA	27	31	35	1.05	1.2	1.47	g
2010.035.20.20.21	NOMA	41	50	54	0.84	1	1.26	f
2010.038.22.28.20	NOMA	31	35	39	1.26	1.4	1.68	g
2010.063.14.02.27	NOMA	29	33	41	0.84	1.2	1.47	f
2010.147.17.14.46	NOMA	27	33	48	0.63	0.8	1.05	f
2010.201.17.19.50	NOMA	76	-64	-29	0.21	0.4	1.47	f
2010.222.05.23.44	NOMA	31	37	43	1.05	1.4	1.68	g
2010.222.23.18.31	NOMA	31	33	37	1.26	1.4	1.68	f
2010.223.20.20.11	NOMA	39	56	74	0.63	0.8	1.05	f
2010.248.23.48.26	NOMA	37	45	52	0.84	1	1.26	g
2010.359.13.16.37	NOMA	31	33	37	1.26	1.6	2.11	f
2010.363.06.54.19	NOMA	27	37	70	0.42	0.8	1.47	f
2011.009.10.03.43	NOMA	33	37	43	1.05	1.2	1.47	g
2011.009.14.54.43	NOMA	29	33	39	0.84	1.2	1.47	g
2011.009.17.21.51	NOMA	27	45	88	0.42	1	2.32	f
2011.009.18.21.06	NOMA	50	63	80	1.89	2.6	3.58	f
2011.026.17.03.30	NOMA	25	29	31	1.26	1.2	1.47	g
2011.076.08.03.00	NOMA	33	37	43	1.26	1.6	1.89	g
2011.093.14.07.09	NOMA	29	31	33	1.26	1.4	1.68	g
2011.108.13.03.02	NOMA	41	45	58	0.63	0.8	1.05	g
2011.130.08.55.08	NOMA	33	42	58	0.84	1.2	1.68	f
2007.215.00.41.14	NPUK	-58	-50	-48	0.84	1	1.26	g
2007.224.12.05.19	NPUK	-25	-16	-5	0.42	0.4	0.63	g
2007.230.12.32.16	NPUK	-92	-85	-84	2.11	2.4	2.74	f
2007.288.12.29.34	NPUK	46	71	-68	0.21	0.8	3.79	f
2007.288.21.28.23	NPUK	-84	-67	-62	0.63	1	1.68	f
2007.289.21.05.43	NPUK	-90	-86	-86	1.47	1.6	1.68	g
2007.308.01.31.10	NPUK	62	66	74	0.84	1.2	1.68	f
2008.073.13.28.44	NPUK	-90	-75	-72	0.63	1	1.47	g
2008.209.21.15.42	NPUK	39	61	80	0.63	0.8	1.26	f
2008.248.09.37.03	NPUK	-11	-4	-3	0.63	0.8	0.84	f
2008.253.23.18.26	NPUK	-29	-12	-7	0.42	0.6	0.63	f
2008.296.12.55.57	NPUK	-58	-35	-19	0.42	0.4	0.63	f
2008.309.18.35.45	NPUK	-7	0	1	0.63	0.8	0.84	f
2008.345.13.15.34	NPUK	-15	-9	-7	0.63	0.6	0.63	f
2009.019.03.35.18	NPUK	25	-87	-78	0.21	0.6	1.89	f
2009.116.00.06.53	NPUK	76	88	-86	0.63	1	1.47	g
2009.281.02.12.39	NPUK	-7	-4	-3	0.84	1	1.05	f
2009.281.21.16.13	NPUK	-90	-87	-86	1.89	2	2.32	f
2009.282.07.33.28	NPUK	-11	0	1	0.84	1	1.47	f
2009.321.15.30.47	NPUK	48	-87	-80	0.42	0.8	1.68	f
2010.018.16.09.14	NPUK	-23	-3	3	0.42	0.6	1.05	f
2010.101.02.19.06	NPUK	-11	-3	1	0.42	0.6	0.84	f
2010.101.09.40.25	NPUK	-19	-4	1	0.63	1	1.47	f
2010.119.23.48.07	NPUK	60	79	-54	0	0.2	1.26	g
2010.203.05.03.56	NPUK	-60	-32	-5	0.42	0.4	0.84	f
2010.249.13.46.26	NPUK	86	-88	-86	1.05	1.6	2.11	f
2011.009.14.54.43	NPUK	70	80	-92	1.26	1.8	2.53	g
2011.108.13.03.02	NPUK	-92	-79	-76	0.84	1.2	1.89	f
2011.130.08.55.08	NPUK	-86	-79	-80	0.84	1.2	1.68	f
2007.196.09.27.34	PURG	1	3	7	1.26	1.4	1.89	g
2007.215.00.41.14	PURG	-60	-41	-35	0.42	0.6	1.05	f
2007.245.01.05.18	PURG	5	7	7	1.89	2.2	2.74	f
2007.288.12.29.34	PURG	54	70	-72	0.63	0.8	1.68	f
2007.288.21.28.23	PURG	46	70	-62	0.21	0.6	2.53	f
2008.005.11.01.06	PURG	-37	-14	-1	0.63	1	1.68	g
2008.153.14.31.03	PURG	43	50	58	0.63	1.2	2.11	f
2008.178.21.19.15	PURG	88	-89	-90	2.53	2.6	3.16	f
2008.249.12.35.43	PURG	-15	-6	-1	0.42	0.6	0.84	g
2008.263.22.49.04	PURG	-25	-7	-1	0.63	1	1.47	f
2008.344.06.23.59	PURG	-88	-79	-78	1.68	2.4	3.16	f
2008.344.17.28.58	PURG	7	7	9	1.26	1.4	1.68	g
2008.345.13.15.34	PURG	-5	-1	1	0.84	0.8	1.05	g
2009.163.09.44.15	PURG	7	9	11	1.05	1.4	1.89	g
2009.222.04.06.31	PURG	-7	1	3	0.63	1	1.26	g
2009.274.20.55.42	PURG	-29	-19	-9	0.63	0.8	1.26	f
2009.281.02.12.39	PURG	-21	-5	-1	0.42	0.6	0.84	g
2009.282.07.33.28	PURG	-29	-8	-3	0.42	0.8	1.26	g
2009.282.13.12.32	PURG	-1	4	7	1.05	1.8	2.53	f
